Electorate Candidate Votes Recorded at Each Voting Place
"Te Tai Tokerau 69","Candidate Vote Details"
,,"DAVIS, Kelvin Glen","DEARLOVE, Clinton","HARAWIRA, Hone Pani Tamati Waka Nene","PAENGA, Te Hira Keretene Te Whakaiti","Total Valid Candidate Votes","Informal Candidate Votes"
,"Stand For Children, 436 Maunu Road",8,0,5,4,17,0
,"Whangarei Hospital, Maunu Road",38,4,26,6,74,2
"Morningside","Morningside School, 53A Morningside Road",50,1,40,5,96,2
"Ngararatanua","Regent Training Centre, Pipiwai Road",13,1,11,3,28,0
"Ngunguru","Ngunguru Community Hall, 1879 Ngunguru Road",23,1,15,3,42,1
"One Tree Point","One Tree Point School, 97 One Tree Point Road",20,1,4,6,31,1
"Onerahi","Onerahi School, Church Road",54,3,33,4,94,5
,"Raurimu Avenue School, Raurimu Avenue",31,1,36,7,75,3
,"St James Church, 135 Onerahi Road",59,1,23,4,87,0
"Otaika","Lifesway Bible Church, corner Tarewa & Otaika Roads",68,5,55,13,141,5
,"Otaika Valley School, Valley View Road",15,0,5,3,23,0
"Otangarei","Te Kura o Otangarei, 181 William Jones Drive",70,4,127,16,217,6
"Parua Bay","Parua Bay School, 1396 Whangarei Heads Road",21,1,21,7,50,1
"Poroti","Poroti School, Mangakahia Road",16,0,17,3,36,0
"Portland","Portland Primary School, 10 Portland School Road",12,0,3,1,16,1
"Raumanga","Manaia View School Hall, 64 Murdoch Crescent",73,3,89,9,174,6
,"Northland Polytechnic, 49-59 Raumanga Valley Road",42,4,55,7,108,3
"Regent","Anglican Parish Hall, 2A Kamo Road",57,1,26,9,93,3
"Riverside","Shackleton Scout Hall, 52a Riverside Drive",13,0,11,2,26,0
"Ruakaka","Bream Bay College, Peter Snell Road",74,10,47,13,144,5
,"Ruakaka School, 12 Sandford Road",6,1,5,2,14,1
"Ruatangata","Ruatangata Hall, 1190 Pipiwai Road",4,1,4,0,9,0
"Springs Flat","Alive Christian Fellowship, 55 Great North Road",8,0,4,0,12,0
"Tamaterau","Tamaterau Hall, Whangarei Heads Road",7,0,0,1,8,0
"Tauraroa","Tauraroa Area School, Omana Road",3,0,4,1,8,0
"Tikipunga","Tikipunga High School, 194 Corks Road",82,3,62,7,154,2
,"Totara Grove School, 38 Corks Road",46,0,33,5,84,2
,"Trinity Uniting Church, 4 Otuhiwai Crescent",79,0,55,15,149,1
"Waipu","Waipu Coronation Hall, 47 The Centre",20,1,10,9,40,0
"Whangarei","NZ Post Service Centre, 21 Rewa Rewa Road",19,1,11,4,35,2
,"Regent Training Classrooms, 29 Maunu Road",25,1,18,10,54,2
,"The Hub, Whangarei Town Basin, 91 Dent Street",25,1,20,5,51,2
,"Whangarei Intermediate School, 32 Rust Avenue",64,4,64,10,142,1
"Whangarei Heads","McLeod Bay Hall, 3 Stuart Road",3,0,1,2,6,0
,"Voting places where less than 6 votes were taken",32,7,24,12,75,5
,"Ordinary Votes BEFORE polling day",2044,87,2372,539,5042,74
,"Special Votes BEFORE polling day",313,15,612,107,1047,19
,"Special Votes On polling day",760,54,867,262,1943,49
,"Overseas Special Votes including Defence Force",83,5,84,28,200,1
,"Te Tai Tokerau Total",9712,454,8969,2579,21714,418
,,,,,"Valid Candidate Votes plus Informal Candidate Votes",22132
"Electorate Candidate Valid Votes","Party",,"DAVIS, Kelvin Glen - majority 743"
"DAVIS, Kelvin Glen",Labour Party,9712,.447269043
"DEARLOVE, Clinton",Independent,454,.0209081698
"HARAWIRA, Hone Pani Tamati Waka Nene",MANA Movement,8969,.4130514875
"PAENGA, Te Hira Keretene Te Whakaiti",Māori Party,2579,.1187712996
